@relation car

@attribute V1 {vhigh, high, med, low}}
@attribute V2 {vhigh, high, med, low}}
@attribute V3 {2, 3, 4, 5more}}
@attribute V4 {2, 4, more}}
@attribute V5 {small, med, big}}
@attribute V6 {low, med, high}}
@attribute class {unacc, acc, good, vgood}

@data
b'vhigh',b'vhigh',b'3',b'more',b'small',b'high',unacc
b'vhigh',b'vhigh',b'3',b'more',b'med',b'low',unacc
b'vhigh',b'vhigh',b'3',b'more',b'med',b'med',unacc
b'vhigh',b'vhigh',b'3',b'more',b'med',b'high',unacc
b'vhigh',b'vhigh',b'3',b'more',b'big',b'low',unacc
b'vhigh',b'vhigh',b'3',b'more',b'big',b'high',unacc
b'vhigh',b'vhigh',b'4',b'2',b'small',b'low',unacc
b'vhigh',b'vhigh',b'4',b'2',b'small',b'med',unacc
b'vhigh',b'vhigh',b'4',b'2',b'small',b'high',unacc
b'vhigh',b'vhigh',b'4',b'2',b'med',b'med',unacc
b'vhigh',b'vhigh',b'4',b'2',b'med',b'high',unacc
b'vhigh',b'vhigh',b'4',b'2',b'big',b'low',unacc
b'vhigh',b'vhigh',b'4',b'2',b'big',b'med',unacc
b'vhigh',b'vhigh',b'4',b'2',b'big',b'high',unacc
b'vhigh',b'vhigh',b'4',b'4',b'small',b'med',unacc
b'vhigh',b'vhigh',b'4',b'4',b'small',b'high',unacc
b'vhigh',b'vhigh',b'4',b'4',b'med',b'low',unacc
b'vhigh',b'vhigh',b'4',b'4',b'med',b'med',unacc
b'vhigh',b'vhigh',b'4',b'4',b'med',b'high',unacc
b'vhigh',b'vhigh',b'4',b'4',b'big',b'low',unacc
b'vhigh',b'vhigh',b'4',b'4',b'big',b'med',unacc
b'vhigh',b'vhigh',b'4',b'4',b'big',b'high',unacc
b'vhigh',b'vhigh',b'4',b'more',b'small',b'low',unacc
b'vhigh',b'vhigh',b'4',b'more',b'small',b'med',unacc
b'vhigh',b'vhigh',b'4',b'more',b'small',b'high',unacc
b'vhigh',b'vhigh',b'4',b'more',b'med',b'low',unacc
b'vhigh',b'vhigh',b'4',b'more',b'med',b'med',unacc
b'vhigh',b'vhigh',b'4',b'more',b'med',b'high',unacc
b'vhigh',b'vhigh',b'4',b'more',b'big',b'low',unacc
b'vhigh',b'vhigh',b'4',b'more',b'big',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'small',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'small',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'small',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'med',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'med',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'med',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'big',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'big',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'2',b'big',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'4',b'small',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'4',b'med',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'4',b'med',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'4',b'med',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'4',b'big',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'4',b'big',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'4',b'big',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'small',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'small',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'small',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'med',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'med',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'med',b'high',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'big',b'low',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'big',b'med',unacc
b'vhigh',b'vhigh',b'5more',b'more',b'big',b'high',unacc
b'vhigh',b'high',b'2',b'2',b'small',b'low',unacc
b'vhigh',b'high',b'2',b'2',b'small',b'med',unacc
b'vhigh',b'high',b'2',b'2',b'med',b'low',unacc
b'vhigh',b'high',b'2',b'2',b'med',b'med',unacc
b'vhigh',b'high',b'2',b'2',b'med',b'high',unacc
b'vhigh',b'high',b'2',b'2',b'big',b'low',unacc
b'vhigh',b'high',b'2',b'2',b'big',b'med',unacc
b'vhigh',b'high',b'2',b'2',b'big',b'high',unacc
b'vhigh',b'high',b'2',b'4',b'small',b'low',unacc
b'vhigh',b'high',b'2',b'4',b'small',b'med',unacc
b'vhigh',b'high',b'2',b'4',b'small',b'high',unacc
b'vhigh',b'high',b'2',b'4',b'med',b'med',unacc
b'vhigh',b'high',b'2',b'4',b'med',b'high',unacc
b'vhigh',b'high',b'2',b'4',b'big',b'low',unacc
b'vhigh',b'high',b'2',b'4',b'big',b'med',unacc
b'vhigh',b'high',b'2',b'4',b'big',b'high',unacc
b'vhigh',b'high',b'2',b'more',b'small',b'low',unacc
b'vhigh',b'high',b'2',b'more',b'small',b'med',unacc
b'vhigh',b'high',b'2',b'more',b'small',b'high',unacc
b'vhigh',b'high',b'2',b'more',b'med',b'low',unacc
b'vhigh',b'high',b'2',b'more',b'med',b'med',unacc
b'vhigh',b'high',b'2',b'more',b'med',b'high',unacc
b'vhigh',b'high',b'2',b'more',b'big',b'low',unacc
b'vhigh',b'high',b'2',b'more',b'big',b'med',unacc
b'vhigh',b'high',b'2',b'more',b'big',b'high',unacc
b'vhigh',b'high',b'3',b'2',b'small',b'low',unacc
b'vhigh',b'high',b'3',b'2',b'small',b'high',unacc
b'vhigh',b'high',b'3',b'2',b'med',b'low',unacc
b'vhigh',b'high',b'3',b'2',b'med',b'med',unacc
b'vhigh',b'high',b'3',b'2',b'med',b'high',unacc
b'vhigh',b'high',b'3',b'2',b'big',b'low',unacc
b'vhigh',b'high',b'3',b'2',b'big',b'med',unacc
b'vhigh',b'high',b'3',b'2',b'big',b'high',unacc
b'vhigh',b'high',b'3',b'4',b'small',b'low',unacc
b'vhigh',b'high',b'3',b'4',b'small',b'med',unacc
b'vhigh',b'high',b'3',b'4',b'small',b'high',unacc
b'vhigh',b'high',b'3',b'4',b'med',b'low',unacc
b'vhigh',b'high',b'3',b'4',b'med',b'med',unacc
b'vhigh',b'high',b'3',b'4',b'med',b'high',unacc
b'vhigh',b'high',b'3',b'4',b'big',b'low',unacc
b'vhigh',b'high',b'3',b'4',b'big',b'med',unacc
b'vhigh',b'high',b'3',b'4',b'big',b'high',unacc
b'vhigh',b'high',b'3',b'more',b'small',b'low',unacc
b'vhigh',b'high',b'3',b'more',b'small',b'med',unacc
b'vhigh',b'high',b'3',b'more',b'small',b'high',unacc
b'vhigh',b'high',b'3',b'more',b'med',b'med',unacc
b'vhigh',b'high',b'3',b'more',b'med',b'high',unacc
b'vhigh',b'high',b'3',b'more',b'big',b'low',unacc
b'vhigh',b'high',b'3',b'more',b'big',b'high',unacc
b'vhigh',b'high',b'4',b'2',b'small',b'low',unacc
b'vhigh',b'high',b'4',b'2',b'small',b'med',unacc
b'vhigh',b'high',b'4',b'2',b'small',b'high',unacc
b'vhigh',b'high',b'4',b'2',b'med',b'med',unacc
b'vhigh',b'high',b'4',b'2',b'med',b'high',unacc
b'vhigh',b'high',b'4',b'2',b'big',b'low',unacc
b'vhigh',b'high',b'4',b'2',b'big',b'med',unacc
b'vhigh',b'high',b'4',b'2',b'big',b'high',unacc
b'vhigh',b'high',b'4',b'4',b'small',b'low',unacc
b'vhigh',b'high',b'4',b'4',b'small',b'med',unacc
b'vhigh',b'high',b'4',b'4',b'small',b'high',unacc
b'vhigh',b'high',b'4',b'4',b'med',b'low',unacc
b'vhigh',b'high',b'4',b'4',b'med',b'med',unacc
b'vhigh',b'high',b'4',b'4',b'med',b'high',unacc
b'vhigh',b'high',b'4',b'4',b'big',b'low',unacc
b'vhigh',b'high',b'4',b'4',b'big',b'med',unacc
b'vhigh',b'high',b'4',b'4',b'big',b'high',unacc
b'vhigh',b'high',b'4',b'more',b'small',b'low',unacc
b'vhigh',b'high',b'4',b'more',b'small',b'med',unacc
b'vhigh',b'high',b'4',b'more',b'small',b'high',unacc
b'vhigh',b'high',b'4',b'more',b'med',b'low',unacc
b'vhigh',b'high',b'4',b'more',b'med',b'med',unacc
b'vhigh',b'high',b'4',b'more',b'med',b'high',unacc
b'vhigh',b'high',b'4',b'more',b'big',b'low',unacc
b'vhigh',b'high',b'4',b'more',b'big',b'med',unacc
b'vhigh',b'high',b'4',b'more',b'big',b'high',unacc
b'vhigh',b'high',b'5more',b'2',b'small',b'low',unacc
b'vhigh',b'high',b'5more',b'2',b'small',b'med',unacc
b'vhigh',b'high',b'5more',b'2',b'small',b'high',unacc
b'vhigh',b'high',b'5more',b'2',b'med',b'low',unacc
b'vhigh',b'high',b'5more',b'2',b'med',b'med',unacc
b'vhigh',b'high',b'5more',b'2',b'med',b'high',unacc
b'vhigh',b'high',b'5more',b'2',b'big',b'low',unacc
b'vhigh',b'high',b'5more',b'2',b'big',b'med',unacc
b'vhigh',b'high',b'5more',b'2',b'big',b'high',unacc
b'vhigh',b'high',b'5more',b'4',b'small',b'med',unacc
b'vhigh',b'high',b'5more',b'4',b'med',b'low',unacc
b'vhigh',b'high',b'5more',b'4',b'med',b'med',unacc
b'vhigh',b'high',b'5more',b'4',b'med',b'high',unacc
b'vhigh',b'high',b'5more',b'4',b'big',b'med',unacc
b'vhigh',b'high',b'5more',b'4',b'big',b'high',unacc
b'vhigh',b'high',b'5more',b'more',b'small',b'low',unacc
b'vhigh',b'high',b'5more',b'more',b'small',b'med',unacc
b'vhigh',b'high',b'5more',b'more',b'small',b'high',unacc
b'vhigh',b'high',b'5more',b'more',b'med',b'low',unacc
b'vhigh',b'high',b'5more',b'more',b'med',b'med',unacc
b'vhigh',b'high',b'5more',b'more',b'big',b'low',unacc
b'vhigh',b'high',b'5more',b'more',b'big',b'med',unacc
b'vhigh',b'med',b'2',b'2',b'small',b'low',unacc
b'vhigh',b'med',b'2',b'2',b'small',b'high',unacc
b'vhigh',b'med',b'2',b'2',b'med',b'low',unacc
b'vhigh',b'med',b'2',b'2',b'med',b'med',unacc
b'vhigh',b'med',b'2',b'2',b'med',b'high',unacc
b'vhigh',b'med',b'2',b'2',b'big',b'low',unacc
b'vhigh',b'med',b'2',b'2',b'big',b'med',unacc
b'vhigh',b'med',b'2',b'2',b'big',b'high',unacc
b'vhigh',b'med',b'2',b'4',b'small',b'low',unacc
b'vhigh',b'med',b'2',b'4',b'small',b'med',unacc
b'vhigh',b'med',b'2',b'4',b'med',b'low',unacc
b'vhigh',b'med',b'2',b'4',b'med',b'high',acc
b'vhigh',b'med',b'2',b'4',b'big',b'low',unacc
b'vhigh',b'med',b'2',b'4',b'big',b'med',acc
b'vhigh',b'med',b'2',b'4',b'big',b'high',acc
b'vhigh',b'med',b'2',b'more',b'small',b'low',unacc
b'vhigh',b'med',b'2',b'more',b'small',b'med',unacc
b'vhigh',b'med',b'2',b'more',b'small',b'high',unacc
b'vhigh',b'med',b'2',b'more',b'med',b'low',unacc
b'vhigh',b'med',b'2',b'more',b'med',b'med',unacc
b'vhigh',b'med',b'2',b'more',b'big',b'low',unacc
b'vhigh',b'med',b'2',b'more',b'big',b'med',acc
b'vhigh',b'med',b'3',b'2',b'small',b'low',unacc
b'vhigh',b'med',b'3',b'2',b'small',b'med',unacc
b'vhigh',b'med',b'3',b'2',b'small',b'high',unacc
b'vhigh',b'med',b'3',b'2',b'med',b'low',unacc
b'vhigh',b'med',b'3',b'2',b'med',b'med',unacc
b'vhigh',b'med',b'3',b'2',b'med',b'high',unacc
b'vhigh',b'med',b'3',b'2',b'big',b'low',unacc
b'vhigh',b'med',b'3',b'2',b'big',b'med',unacc
b'vhigh',b'med',b'3',b'2',b'big',b'high',unacc
b'vhigh',b'med',b'3',b'4',b'small',b'low',unacc
b'vhigh',b'med',b'3',b'4',b'small',b'med',unacc
b'vhigh',b'med',b'3',b'4',b'small',b'high',acc
b'vhigh',b'med',b'3',b'4',b'med',b'low',unacc
b'vhigh',b'med',b'3',b'4',b'med',b'med',unacc
b'vhigh',b'med',b'3',b'4',b'med',b'high',acc
b'vhigh',b'med',b'3',b'4',b'big',b'med',acc
b'vhigh',b'med',b'3',b'4',b'big',b'high',acc
b'vhigh',b'med',b'3',b'more',b'small',b'low',unacc
b'vhigh',b'med',b'3',b'more',b'small',b'high',acc
b'vhigh',b'med',b'3',b'more',b'med',b'med',acc
b'vhigh',b'med',b'3',b'more',b'med',b'high',acc
b'vhigh',b'med',b'3',b'more',b'big',b'low',unacc
b'vhigh',b'med',b'3',b'more',b'big',b'med',acc
b'vhigh',b'med',b'3',b'more',b'big',b'high',acc
b'vhigh',b'med',b'4',b'2',b'small',b'low',unacc
b'vhigh',b'med',b'4',b'2',b'small',b'med',unacc
b'vhigh',b'med',b'4',b'2',b'small',b'high',unacc
b'vhigh',b'med',b'4',b'2',b'med',b'low',unacc
b'vhigh',b'med',b'4',b'2',b'big',b'med',unacc
b'vhigh',b'med',b'4',b'4',b'small',b'low',unacc
b'vhigh',b'med',b'4',b'4',b'small',b'med',unacc
b'vhigh',b'med',b'4',b'4',b'small',b'high',acc
b'vhigh',b'med',b'4',b'4',b'med',b'low',unacc
b'vhigh',b'med',b'4',b'4',b'med',b'med',acc
b'vhigh',b'med',b'4',b'4',b'med',b'high',acc
b'vhigh',b'med',b'4',b'4',b'big',b'med',acc
b'vhigh',b'med',b'4',b'4',b'big',b'high',acc
b'vhigh',b'med',b'4',b'more',b'small',b'low',unacc
b'vhigh',b'med',b'4',b'more',b'small',b'med',unacc
b'vhigh',b'med',b'4',b'more',b'small',b'high',acc
b'vhigh',b'med',b'4',b'more',b'med',b'low',unacc
b'vhigh',b'med',b'4',b'more',b'med',b'med',acc
b'vhigh',b'med',b'4',b'more',b'med',b'high',acc
b'vhigh',b'med',b'4',b'more',b'big',b'low',unacc
b'vhigh',b'med',b'4',b'more',b'big',b'med',acc
b'vhigh',b'med',b'4',b'more',b'big',b'high',acc
b'vhigh',b'med',b'5more',b'2',b'small',b'low',unacc
b'vhigh',b'med',b'5more',b'2',b'small',b'med',unacc
b'vhigh',b'med',b'5more',b'2',b'small',b'high',unacc
b'vhigh',b'med',b'5more',b'2',b'med',b'low',unacc
b'vhigh',b'med',b'5more',b'2',b'med',b'med',unacc
b'vhigh',b'med',b'5more',b'2',b'med',b'high',unacc
b'vhigh',b'med',b'5more',b'2',b'big',b'low',unacc
b'vhigh',b'med',b'5more',b'2',b'big',b'med',unacc
b'vhigh',b'med',b'5more',b'2',b'big',b'high',unacc
b'vhigh',b'med',b'5more',b'4',b'small',b'low',unacc
b'vhigh',b'med',b'5more',b'4',b'small',b'med',unacc
b'vhigh',b'med',b'5more',b'4',b'med',b'low',unacc
b'vhigh',b'med',b'5more',b'4',b'med',b'med',acc
b'vhigh',b'med',b'5more',b'4',b'med',b'high',acc
b'vhigh',b'med',b'5more',b'4',b'big',b'low',unacc
b'vhigh',b'med',b'5more',b'4',b'big',b'med',acc
b'vhigh',b'med',b'5more',b'4',b'big',b'high',acc
b'vhigh',b'med',b'5more',b'more',b'small',b'low',unacc
b'vhigh',b'med',b'5more',b'more',b'small',b'med',unacc
b'vhigh',b'med',b'5more',b'more',b'small',b'high',acc
b'vhigh',b'med',b'5more',b'more',b'med',b'low',unacc
b'vhigh',b'med',b'5more',b'more',b'med',b'med',acc
b'vhigh',b'med',b'5more',b'more',b'med',b'high',acc
b'vhigh',b'med',b'5more',b'more',b'big',b'low',unacc
b'vhigh',b'med',b'5more',b'more',b'big',b'med',acc
b'vhigh',b'med',b'5more',b'more',b'big',b'high',acc
b'vhigh',b'low',b'2',b'2',b'small',b'low',unacc
b'vhigh',b'low',b'2',b'2',b'small',b'med',unacc
b'vhigh',b'low',b'2',b'2',b'small',b'high',unacc
b'vhigh',b'low',b'2',b'2',b'med',b'low',unacc
b'vhigh',b'low',b'2',b'2',b'med',b'med',unacc
b'vhigh',b'low',b'2',b'2',b'med',b'high',unacc
b'vhigh',b'low',b'2',b'2',b'big',b'low',unacc
b'vhigh',b'low',b'2',b'2',b'big',b'med',unacc
b'vhigh',b'low',b'2',b'2',b'big',b'high',unacc
b'vhigh',b'low',b'2',b'4',b'small',b'low',unacc
b'vhigh',b'low',b'2',b'4',b'small',b'med',unacc
b'vhigh',b'low',b'2',b'4',b'small',b'high',acc
b'vhigh',b'low',b'2',b'4',b'med',b'low',unacc
b'vhigh',b'low',b'2',b'4',b'med',b'med',unacc
b'vhigh',b'low',b'2',b'4',b'med',b'high',acc
b'vhigh',b'low',b'2',b'4',b'big',b'low',unacc
b'vhigh',b'low',b'2',b'4',b'big',b'med',acc
b'vhigh',b'low',b'2',b'4',b'big',b'high',acc
b'vhigh',b'low',b'2',b'more',b'small',b'low',unacc
b'vhigh',b'low',b'2',b'more',b'small',b'med',unacc
b'vhigh',b'low',b'2',b'more',b'small',b'high',unacc
b'vhigh',b'low',b'2',b'more',b'med',b'low',unacc
b'vhigh',b'low',b'2',b'more',b'med',b'med',unacc
b'vhigh',b'low',b'2',b'more',b'med',b'high',acc
b'vhigh',b'low',b'2',b'more',b'big',b'low',unacc
b'vhigh',b'low',b'2',b'more',b'big',b'med',acc
b'vhigh',b'low',b'3',b'2',b'small',b'low',unacc
b'vhigh',b'low',b'3',b'2',b'small',b'med',unacc
b'vhigh',b'low',b'3',b'2',b'small',b'high',unacc
b'vhigh',b'low',b'3',b'2',b'med',b'low',unacc
b'vhigh',b'low',b'3',b'2',b'med',b'med',unacc
b'vhigh',b'low',b'3',b'2',b'med',b'high',unacc
b'vhigh',b'low',b'3',b'2',b'big',b'low',unacc
b'vhigh',b'low',b'3',b'2',b'big',b'med',unacc
b'vhigh',b'low',b'3',b'2',b'big',b'high',unacc
b'vhigh',b'low',b'3',b'4',b'small',b'low',unacc
b'vhigh',b'low',b'3',b'4',b'small',b'med',unacc
b'vhigh',b'low',b'3',b'4',b'small',b'high',acc
b'vhigh',b'low',b'3',b'4',b'med',b'low',unacc
b'vhigh',b'low',b'3',b'4',b'med',b'med',unacc
b'vhigh',b'low',b'3',b'4',b'med',b'high',acc
b'vhigh',b'low',b'3',b'4',b'big',b'med',acc
b'vhigh',b'low',b'3',b'4',b'big',b'high',acc
b'vhigh',b'low',b'3',b'more',b'small',b'low',unacc
b'vhigh',b'low',b'3',b'more',b'small',b'med',unacc
b'vhigh',b'low',b'3',b'more',b'small',b'high',acc
b'vhigh',b'low',b'3',b'more',b'med',b'low',unacc
b'vhigh',b'low',b'3',b'more',b'med',b'med',acc
b'vhigh',b'low',b'3',b'more',b'med',b'high',acc
b'vhigh',b'low',b'3',b'more',b'big',b'low',unacc
b'vhigh',b'low',b'3',b'more',b'big',b'med',acc
b'vhigh',b'low',b'3',b'more',b'big',b'high',acc
b'vhigh',b'low',b'4',b'2',b'small',b'low',unacc
b'vhigh',b'low',b'4',b'2',b'small',b'med',unacc
b'vhigh',b'low',b'4',b'2',b'small',b'high',unacc
b'vhigh',b'low',b'4',b'2',b'med',b'low',unacc
b'vhigh',b'low',b'4',b'2',b'med',b'med',unacc
b'vhigh',b'low',b'4',b'2',b'med',b'high',unacc
b'vhigh',b'low',b'4',b'2',b'big',b'low',unacc
b'vhigh',b'low',b'4',b'2',b'big',b'med',unacc
b'vhigh',b'low',b'4',b'2',b'big',b'high',unacc
b'vhigh',b'low',b'4',b'4',b'small',b'med',unacc
b'vhigh',b'low',b'4',b'4',b'med',b'low',unacc
b'vhigh',b'low',b'4',b'4',b'med',b'med',acc
b'vhigh',b'low',b'4',b'4',b'med',b'high',acc
b'vhigh',b'low',b'4',b'4',b'big',b'low',unacc
b'vhigh',b'low',b'4',b'4',b'big',b'med',acc
b'vhigh',b'low',b'4',b'4',b'big',b'high',acc
b'vhigh',b'low',b'4',b'more',b'small',b'low',unacc
b'vhigh',b'low',b'4',b'more',b'small',b'med',unacc
b'vhigh',b'low',b'4',b'more',b'small',b'high',acc
b'vhigh',b'low',b'4',b'more',b'med',b'low',unacc
b'vhigh',b'low',b'4',b'more',b'med',b'med',acc
b'vhigh',b'low',b'4',b'more',b'med',b'high',acc
b'vhigh',b'low',b'4',b'more',b'big',b'low',unacc
b'vhigh',b'low',b'4',b'more',b'big',b'med',acc
b'vhigh',b'low',b'4',b'more',b'big',b'high',acc
b'vhigh',b'low',b'5more',b'2',b'small',b'low',unacc
b'vhigh',b'low',b'5more',b'2',b'small',b'med',unacc
b'vhigh',b'low',b'5more',b'2',b'small',b'high',unacc
b'vhigh',b'low',b'5more',b'2',b'med',b'low',unacc
b'vhigh',b'low',b'5more',b'2',b'med',b'med',unacc
b'vhigh',b'low',b'5more',b'2',b'med',b'high',unacc
b'vhigh',b'low',b'5more',b'2',b'big',b'low',unacc
b'vhigh',b'low',b'5more',b'2',b'big',b'med',unacc
b'vhigh',b'low',b'5more',b'2',b'big',b'high',unacc
b'vhigh',b'low',b'5more',b'4',b'small',b'med',unacc
b'vhigh',b'low',b'5more',b'4',b'small',b'high',acc
b'vhigh',b'low',b'5more',b'4',b'med',b'low',unacc
b'vhigh',b'low',b'5more',b'4',b'med',b'med',acc
b'vhigh',b'low',b'5more',b'4',b'med',b'high',acc
b'vhigh',b'low',b'5more',b'4',b'big',b'low',unacc
b'vhigh',b'low',b'5more',b'4',b'big',b'med',acc
b'vhigh',b'low',b'5more',b'4',b'big',b'high',acc
b'vhigh',b'low',b'5more',b'more',b'small',b'low',unacc
b'vhigh',b'low',b'5more',b'more',b'small',b'med',unacc
b'vhigh',b'low',b'5more',b'more',b'med',b'low',unacc
b'vhigh',b'low',b'5more',b'more',b'med',b'med',acc
b'vhigh',b'low',b'5more',b'more',b'med',b'high',acc
b'vhigh',b'low',b'5more',b'more',b'big',b'low',unacc
b'high',b'vhigh',b'2',b'2',b'small',b'low',unacc
b'high',b'vhigh',b'2',b'2',b'small',b'med',unacc
b'high',b'vhigh',b'2',b'2',b'small',b'high',unacc
b'high',b'vhigh',b'2',b'2',b'med',b'low',unacc
b'high',b'vhigh',b'2',b'2',b'med',b'high',unacc
b'high',b'vhigh',b'2',b'2',b'big',b'low',unacc
b'high',b'vhigh',b'2',b'2',b'big',b'med',unacc
b'high',b'vhigh',b'2',b'2',b'big',b'high',unacc
b'high',b'vhigh',b'2',b'4',b'small',b'low',unacc
b'high',b'vhigh',b'2',b'4',b'small',b'med',unacc
b'high',b'vhigh',b'2',b'4',b'small',b'high',unacc
b'high',b'vhigh',b'2',b'4',b'med',b'med',unacc
b'high',b'vhigh',b'2',b'4',b'med',b'high',unacc
b'high',b'vhigh',b'2',b'4',b'big',b'low',unacc
b'high',b'vhigh',b'2',b'4',b'big',b'med',unacc
b'high',b'vhigh',b'2',b'4',b'big',b'high',unacc
b'high',b'vhigh',b'2',b'more',b'small',b'med',unacc
b'high',b'vhigh',b'2',b'more',b'small',b'high',unacc
b'high',b'vhigh',b'2',b'more',b'med',b'med',unacc
b'high',b'vhigh',b'2',b'more',b'med',b'high',unacc
b'high',b'vhigh',b'2',b'more',b'big',b'low',unacc
b'high',b'vhigh',b'2',b'more',b'big',b'med',unacc
b'high',b'vhigh',b'2',b'more',b'big',b'high',unacc
b'high',b'vhigh',b'3',b'2',b'small',b'med',unacc
b'high',b'vhigh',b'3',b'2',b'small',b'high',unacc
b'high',b'vhigh',b'3',b'2',b'med',b'low',unacc
b'high',b'vhigh',b'3',b'2',b'med',b'med',unacc
b'high',b'vhigh',b'3',b'2',b'big',b'low',unacc
b'high',b'vhigh',b'3',b'2',b'big',b'med',unacc
b'high',b'vhigh',b'3',b'2',b'big',b'high',unacc
b'high',b'vhigh',b'3',b'4',b'small',b'low',unacc
b'high',b'vhigh',b'3',b'4',b'small',b'med',unacc
b'high',b'vhigh',b'3',b'4',b'small',b'high',unacc
b'high',b'vhigh',b'3',b'4',b'med',b'low',unacc
b'high',b'vhigh',b'3',b'4',b'med',b'high',unacc
b'high',b'vhigh',b'3',b'4',b'big',b'low',unacc
b'high',b'vhigh',b'3',b'4',b'big',b'med',unacc
b'high',b'vhigh',b'3',b'4',b'big',b'high',unacc
b'high',b'vhigh',b'3',b'more',b'small',b'low',unacc
b'high',b'vhigh',b'3',b'more',b'small',b'med',unacc
b'high',b'vhigh',b'3',b'more',b'small',b'high',unacc
b'high',b'vhigh',b'3',b'more',b'med',b'low',unacc
b'high',b'vhigh',b'3',b'more',b'med',b'med',unacc
b'high',b'vhigh',b'3',b'more',b'med',b'high',unacc
b'high',b'vhigh',b'3',b'more',b'big',b'low',unacc
